This is a sample data
You can use this to check what you can do with this package

   x  ,  y
   0,     300
   1,     315
   2,       0
   3,       0
   4,       0
   5,       0
   6,       0
   7,       0
   8,       0
   9,       0
  10,       0
  11,       0
  12,       0
  13,      23
  14,      38
  15,      67
  16,      85
  17,     121
  18,     129
  19,     164
  20,     166
  21,     147
  22,     117
  23,     151
  24,     126
  25,     107
  26,     118
  27,     102
  28,     120
  29,     133
  30,     122
  31,     118
  32,     104
  33,     125
  34,     120
  35,     104
  36,     136
  37,      98
  38,     125
  39,     131
  40,     124
  41,     122
  42,     138
  43,     131
  44,     127
  45,     123
  46,     125
  47,     121
  48,     141
  49,     129
  50,     131
  51,     125
  52,     154
  53,     148
  54,     179
  55,     150
  56,     136
  57,     116
  58,     161
  59,     143
  60,     160
  61,     121
  62,     161
  63,     145
  64,     160
  65,     149
  66,     154
  67,     134
  68,     164
  69,     141
  70,     143
  71,     140
  72,     162
  73,     119
  74,     150
  75,     159
  76,     170
  77,     149
  78,     173
  79,     163
  80,     156
  81,     165
  82,     152
  83,     179
  84,     163
  85,     191
  86,     163
  87,     159
  88,     145
  89,     170
  90,     174
  91,     173
  92,     174
  93,     185
  94,     152
  95,     168
  96,     178
  97,     141
  98,     154
  99,     181
 100,     158
 101,     169
 102,     142
 103,     174
 104,     176
 105,     163
 106,     185
 107,     140
 108,     177
 109,     154
 110,     173
 111,     190
 112,     177
 113,     189
 114,     147
 115,     174
 116,     175
 117,     198
 118,     161
 119,     159
 120,     168
 121,     174
 122,     154
 123,     189
 124,     187
 125,     165
 126,     194
 127,     176
 128,     191
 129,     181
 130,     180
 131,     153
 132,     184
 133,     209
 134,     195
 135,     188
 136,     184
 137,     199
 138,     185
 139,     182
 140,     186
 141,     170
 142,     162
 143,     199
 144,     195
 145,     201
 146,     157
 147,     195
 148,     178
 149,     194
 150,     172
 151,     179
 152,     180
 153,     182
 154,     201
 155,     163
 156,     170
 157,     208
 158,     187
 159,     165
 160,     173
 161,     185
 162,     186
 163,     174
 164,     193
 165,     190
 166,     183
 167,     182
 168,     189
 169,     191
 170,     181
 171,     193
 172,     169
 173,     150
 174,     184
 175,     186
 176,     192
 177,     185
 178,     171
 179,     154
 180,     189
 181,     209
 182,     197
 183,     162
 184,     209
 185,     205
 186,     188
 187,     178
 188,     187
 189,     194
 190,     209
 191,     218
 192,     191
 193,     211
 194,     222
 195,     215
 196,     207
 197,     180
 198,     226
 199,     233
 200,     236
 201,     242
 202,     222
 203,     216
 204,     237
 205,     228
 206,     267
 207,     268
 208,     274
 209,     259
 210,     258
 211,     289
 212,     313
 213,     270
 214,     316
 215,     318
 216,     324
 217,     332
 218,     345
 219,     372
 220,     389
 221,     336
 222,     365
 223,     350
 224,     342
 225,     400
 226,     381
 227,     405
 228,     409
 229,     406
 230,     415
 231,     426
 232,     348
 233,     378
 234,     411
 235,     404
 236,     374
 237,     361
 238,     371
 239,     376
 240,     315
 241,     359
 242,     317
 243,     307
 244,     290
 245,     303
 246,     294
 247,     264
 248,     265
 249,     313
 250,     288
 251,     271
 252,     255
 253,     296
 254,     249
 255,     290
 256,     276
 257,     276
 258,     296
 259,     241
 260,     272
 261,     252
 262,     240
 263,     247
 264,     252
 265,     253
 266,     266
 267,     267
 268,     270
 269,     235
 270,     215
 271,     228
 272,     235
 273,     226
 274,     235
 275,     252
 276,     215
 277,     239
 278,     188
 279,     206
 280,     195
 281,     201
 282,     220
 283,     200
 284,     219
 285,     196
 286,     207
 287,     186
 288,     208
 289,     202
 290,     215
 291,     188
 292,     202
 293,     185
 294,     183
 295,     193
 296,     195
 297,     189
 298,     215
 299,     183
 300,     170
 301,     189
 302,     169
 303,     203
 304,     168
 305,     195
 306,     195
 307,     206
 308,     203
 309,     169
 310,     194
 311,     176
 312,     199
 313,     215
 314,     198
 315,     196
 316,     199
 317,     206
 318,     199
 319,     197
 320,     189
 321,     210
 322,     195
 323,     194
 324,     174
 325,     198
 326,     195
 327,     174
 328,     184
 329,     206
 330,     186
 331,     206
 332,     205
 333,     194
 334,     217
 335,     178
 336,     179
 337,     166
 338,     194
 339,     200
 340,     170
 341,     180
 342,     214
 343,     164
 344,     208
 345,     204
 346,     188
 347,     171
 348,     192
 349,     186
 350,     198
 351,     204
 352,     189
 353,     191
 354,     191
 355,     219
 356,     182
 357,     202
 358,     192
 359,     188
 360,     210
 361,     208
 362,     200
 363,     181
 364,     202
 365,     194
 366,     186
 367,     196
 368,     215
 369,     207
 370,     184
 371,     193
 372,     176
 373,     189
 374,     221
 375,     192
 376,     202
 377,     183
 378,     204
 379,     189
 380,     195
 381,     208
 382,     229
 383,     199
 384,     198
 385,     196
 386,     193
 387,     197
 388,     198
 389,     184
 390,     209
 391,     162
 392,     197
 393,     217
 394,     194
 395,     184
 396,     201
 397,     199
 398,     187
 399,     179
 400,     198
 401,     183
 402,     186
 403,     202
 404,     190
 405,     197
 406,     203
 407,     198
 408,     194
 409,     180
 410,     166
 411,     198
 412,     206
 413,     191
 414,     207
 415,     201
 416,     171
 417,     189
 418,     190
 419,     183
 420,     215
 421,     190
 422,     196
 423,     168
 424,     198
 425,     180
 426,     190
 427,     225
 428,     221
 429,     191
 430,     171
 431,     201
 432,     222
 433,     197
 434,     198
 435,     187
 436,     183
 437,     209
 438,     192
 439,     176
 440,     204
 441,     190
 442,     202
 443,     191
 444,     204
 445,     195
 446,     217
 447,     202
 448,     178
 449,     181
 450,     198
 451,     202
 452,     186
 453,     177
 454,     185
 455,     187
 456,     176
 457,     170
 458,     216
 459,     190
 460,     186
 461,     181
 462,     212
 463,     200
 464,     190
 465,     204
 466,     226
 467,     213
 468,     220
 469,     189
 470,     219
 471,     195
 472,     187
 473,     191
 474,     186
 475,     178
 476,     201
 477,     181
 478,     183
 479,     194
 480,     184
 481,     170
 482,     201
 483,     181
 484,     181
 485,     181
 486,     187
 487,     182
 488,     191
 489,     190
 490,     198
 491,     201
 492,     217
 493,     195
 494,     193
 495,     213
 496,     173
 497,     193
 498,     182
 499,     206
 500,     177
 501,     185
 502,     169
 503,     170
 504,     160
 505,     210
 506,     181
 507,     183
 508,     203
 509,     193
 510,     205
 511,     189
 512,     211
 513,     195
 514,     180
 515,     185
 516,     195
 517,     168
 518,     197
 519,     181
 520,     224
 521,     192
 522,     170
 523,     200
 524,     201
 525,     184
 526,     183
 527,     176
 528,     208
 529,     178
 530,     198
 531,     216
 532,     200
 533,     198
 534,     192
 535,     221
 536,     189
 537,     179
 538,     207
 539,     179
 540,     197
 541,     190
 542,     187
 543,     205
 544,     197
 545,     206
 546,     180
 547,     192
 548,     175
 549,     201
 550,     201
 551,     207
 552,     215
 553,     189
 554,     213
 555,     196
 556,     199
 557,     204
 558,     214
 559,     195
 560,     218
 561,     215
 562,     218
 563,     203
 564,     211
